SEMESTER,UT DAY,UT START TIME,UT END TIME,MJD START TIME,MJD END TIME,PROGRAM,OBSERVER
2001A,02-11,09:59:00.000,16:00:00.000,51951.415972222225,51951.666666666664,062,Cushing
2001A,02-12,04:00:00.000,09:59:00.000,51952.166666666664,51952.415972222225,087,Chanover
2001A,02-12,09:59:00.000,16:00:00.000,51952.415972222225,51952.666666666664,062,Cushing
2001A,02-13,04:00:00.000,09:59:00.000,51953.166666666664,51953.415972222225,087,Chanover
2001A,02-13,09:59:00.000,16:00:00.000,51953.415972222225,51953.666666666664,062,Cushing
2001A,02-14,03:30:00.000,06:00:00.000,51954.145833333336,51954.25,077,Crisp
2001A,02-14,06:00:00.000,13:30:00.000,51954.25,51954.5625,109,Emery
2001A,02-15,03:30:00.000,06:00:00.000,51955.145833333336,51955.25,077,Crisp
2001A,02-15,06:00:00.000,13:30:00.000,51955.25,51955.5625,109,Emery
2001A,02-15,13:30:00.000,22:00:00.000,51955.5625,51955.916666666664,100,Weaver
2001A,02-16,03:30:00.000,06:00:00.000,51956.145833333336,51956.25,077,Crisp
2001A,02-16,06:00:00.000,13:30:00.000,51956.25,51956.5625,109,Emery
2001A,02-16,13:30:00.000,22:00:00.000,51956.5625,51956.916666666664,100,Weaver
2001A,02-17,03:30:00.000,06:00:00.000,51957.145833333336,51957.25,077,Crisp
2001A,02-17,06:00:00.000,15:30:00.000,51957.25,51957.645833333336,109,Emery
2001A,02-17,13:30:00.000,22:00:00.000,51957.5625,51957.916666666664,100,Weaver
2001A,02-18,03:30:00.000,06:00:00.000,51958.145833333336,51958.25,077,Crisp
2001A,02-18,06:00:00.000,15:30:00.000,51958.25,51958.645833333336,004,Binzel
2001A,02-19,03:30:00.000,06:00:00.000,51959.145833333336,51959.25,077,Crisp
2001A,02-19,06:00:00.000,15:30:00.000,51959.25,51959.645833333336,004,Binzel
2001A,02-20,04:00:00.000,09:00:00.000,51960.166666666664,51960.375,060,Miller
2001A,02-20,09:00:00.000,16:00:00.000,51960.375,51960.666666666664,026,Stockton
2001A,02-21,04:00:00.000,09:00:00.000,51961.166666666664,51961.375,060,Miller
2001A,02-21,09:00:00.000,16:00:00.000,51961.375,51961.666666666664,026,Stockton
2001A,02-22,04:00:00.000,09:00:00.000,51962.166666666664,51962.375,060,Miller
2001A,02-22,09:00:00.000,16:00:00.000,51962.375,51962.666666666664,026,Stockton
2001A,02-23,04:00:00.000,16:00:00.000,51963.166666666664,51963.666666666664,999,Engineering
2001A,02-24,20:00:00.000,16:00:00.000,51964.833333333336,51964.666666666664,091,Kostiuk
2001A,02-25,20:00:00.000,16:00:00.000,51965.833333333336,51965.666666666664,091,Kostiuk
2001A,02-26,20:00:00.000,16:00:00.000,51966.833333333336,51966.666666666664,091,Kostiuk
2001A,02-27,20:00:00.000,16:00:00.000,51967.833333333336,51967.666666666664,091,Kostiuk
2001A,02-28,04:00:00.000,16:00:00.000,51968.166666666664,51968.666666666664,999,Engineering
2001A,03-01,04:00:00.000,16:00:00.000,51969.166666666664,51969.666666666664,999,Engineering
2001A,03-02,04:00:00.000,11:00:00.000,51970.166666666664,51970.458333333336,069,Tsvetanov
2001A,03-03,04:00:00.000,11:00:00.000,51971.166666666664,51971.458333333336,069,Tsvetanov
2001A,03-03,11:00:00.000,17:00:00.000,51971.458333333336,51971.708333333336,071,Mumma
2001A,03-04,04:00:00.000,11:00:00.000,51972.166666666664,51972.458333333336,069,Tsvetanov
2001A,03-04,11:00:00.000,17:00:00.000,51972.458333333336,51972.708333333336,071,Mumma
2001A,03-05,00:00:00.000,08:00:00.000,51973.0,51973.333333333336,007,Orton
2001A,03-05,08:00:00.000,16:00:00.000,51973.333333333336,51973.666666666664,069,Tsvetanov
2001A,03-05,11:00:00.000,17:00:00.000,51973.458333333336,51973.708333333336,071,Mumma
2001A,03-06,00:00:00.000,08:00:00.000,51974.0,51974.333333333336,007,Orton
2001A,03-06,08:00:00.000,16:00:00.000,51974.333333333336,51974.666666666664,999,Engineering
2001A,03-07,00:00:00.000,08:00:00.000,51975.0,51975.333333333336,007,Orton
2001A,03-07,08:00:00.000,16:00:00.000,51975.333333333336,51975.666666666664,999,Engineering
2001A,03-08,04:00:00.000,16:00:00.000,51976.166666666664,51976.666666666664,999,Engineering
2001A,03-09,04:00:00.000,09:59:00.000,51977.166666666664,51977.415972222225,999,Engineering
2001A,03-09,09:59:00.000,16:00:00.000,51977.415972222225,51977.666666666664,034,Kelley
2001A,03-10,04:00:00.000,09:59:00.000,51978.166666666664,51978.415972222225,999,Engineering
2001A,03-10,09:59:00.000,16:00:00.000,51978.415972222225,51978.666666666664,034,Kelley
2001A,03-11,04:00:00.000,09:59:00.000,51979.166666666664,51979.415972222225,999,Engineering
2001A,03-11,09:59:00.000,16:00:00.000,51979.415972222225,51979.666666666664,034,Kelley
2001A,03-12,04:00:00.000,16:00:00.000,51980.166666666664,51980.666666666664,062,Cushing
2001A,03-13,04:00:00.000,16:00:00.000,51981.166666666664,51981.666666666664,062,Cushing
2001A,03-14,04:00:00.000,08:00:00.000,51982.166666666664,51982.333333333336,060,Miller
2001A,03-14,08:00:00.000,16:00:00.000,51982.333333333336,51982.666666666664,058,Clark
2001A,03-15,04:00:00.000,08:00:00.000,51983.166666666664,51983.333333333336,060,Miller
2001A,03-15,08:00:00.000,16:00:00.000,51983.333333333336,51983.666666666664,058,Clark
