SEMESTER,MJD START,MJD END,PROGRAM,PI
2001A,52014.166666666664,52014.666666666664,2001A103,Gregg
2001A,52015.166666666664,52015.666666666664,2001A103,Gregg
2001A,52016.166666666664,52016.666666666664,2001A103,Gregg
2001A,52017.166666666664,52017.666666666664,2001A999,Engineering
2001A,52018.166666666664,52018.415972222225,2001A999,Engineering
2001A,52018.415972222225,52018.666666666664,2001A042,Krasnopolsky
2001A,52019.166666666664,52019.415972222225,2001A999,Engineering
2001A,52019.415972222225,52019.666666666664,2001A042,Krasnopolsky
2001A,52020.166666666664,52020.666666666664,2001A054,Rodriguez-Ardila
2001A,52021.166666666664,52021.666666666664,2001A054,Rodriguez-Ardila
2001A,52022.166666666664,52022.666666666664,2001A054,Rodriguez-Ardila
2001A,52023.166666666664,52023.666666666664,2001A054,Rodriguez-Ardila
2001A,52024.166666666664,52024.666666666664,2001A035,Brotherton
2001A,52025.166666666664,52025.666666666664,2001A035,Brotherton
2001A,52026.166666666664,52026.666666666664,2001A035,Brotherton
2001A,52027.166666666664,52027.666666666664,2001A035,Brotherton
2001A,52028.166666666664,52028.415972222225,2001A014,Hardersen
2001A,52028.415972222225,52028.666666666664,2001A101,Rivkin
2001A,52029.166666666664,52029.415972222225,2001A014,Hardersen
2001A,52029.415972222225,52029.666666666664,2001A101,Rivkin
2001A,52030.166666666664,52030.415972222225,2001A014,Hardersen
2001A,52030.415972222225,52030.666666666664,2001A101,Rivkin
2001A,52030.875,52030.208333333336,2001A007,Orton
2001A,52031.208333333336,52031.666666666664,2001A014,Hardersen
2001A,52031.875,52031.208333333336,2001A007,Orton
2001A,52032.208333333336,52032.666666666664,2001A014,Hardersen
2001A,52032.875,52032.208333333336,2001A007,Orton
2001A,52033.208333333336,52033.666666666664,2001A014,Hardersen
2001A,52034.166666666664,52034.666666666664,2001A092,Cotera
2001A,52035.166666666664,52035.666666666664,2001A092,Cotera
2001A,52036.166666666664,52036.666666666664,2001A092,Cotera
2001A,52037.208333333336,52037.583333333336,2001A003,Ford
2001A,52037.583333333336,52037.708333333336,2001A065,Young
2001A,52038.208333333336,52038.583333333336,2001A003,Ford
2001A,52038.583333333336,52038.708333333336,2001A065,Young
2001A,52039.208333333336,52039.583333333336,2001A003,Ford
2001A,52039.583333333336,52039.708333333336,2001A065,Young
2001A,52040.208333333336,52040.583333333336,2001A003,Ford
2001A,52040.583333333336,52040.708333333336,2001A065,Young
2001A,52041.208333333336,52041.583333333336,2001A002,Reid
2001A,52041.583333333336,52041.708333333336,2001A065,Young
2001A,52042.208333333336,52042.583333333336,2001A002,Reid
2001A,52042.583333333336,52042.708333333336,2001A065,Young
2001A,52043.208333333336,52043.583333333336,2001A002,Reid
2001A,52043.583333333336,52043.708333333336,2001A065,Young
2001A,52044.166666666664,52044.666666666664,2001A002,Reid
2001A,52045.166666666664,52045.666666666664,2001A002,Reid
2001A,52046.166666666664,52046.666666666664,2001A024,Alonso-Herrero
