SEMESTER,MJD START,MJD END,PI,PROGRAM
2001A,51983.16667,51983.33333,Miller,2001A060
2001A,51983.33333,51983.66667,Clark,2001A058
2001A,51984.16667,51984.33333,Miller,2001A060
2001A,51984.33333,51984.66667,Clark,2001A058
2001A,51985.16667,51985.33333,Miller,2001A060
2001A,51985.33333,51985.54167,Clark,2001A058
2001A,51986.16667,51986.35417,Miller,2001A060
2001A,51986.54167,51986.83333,Novak,2001A038
2001A,51987.16667,51987.35417,Miller,2001A060
2001A,51987.45833,51987.83333,Novak,2001A038
2001A,51988.16667,51988.41597,Engineering,2001A999
2001A,51988.45833,51988.83333,Novak,2001A038
2001A,51989.16667,51989.41597,Engineering,2001A999
2001A,51989.45833,51989.83333,Novak,2001A038
2001A,51990.16667,51990.41597,Engineering,2001A999
2001A,51990.41597,51990.66667,Kelley,2001A034
2001A,51991.16667,51991.41597,Engineering,2001A999
2001A,51991.41597,51991.66667,Kelley,2001A034
2001A,51992.16667,51992.41597,Engineering,2001A999
2001A,51992.41597,51992.66667,Kelley,2001A034
2001A,51993.16667,51993.66667,Bauer,2001A027
2001A,51994.16667,51994.66667,Bauer,2001A027
2001A,51995.16667,51995.66667,Binzel,2001A004
2001A,51996.16667,51996.66667,Binzel,2001A004
2001A,51997.16667,51997.66667,Turnshek,2001A081
2001A,51998.16667,51998.66667,Turnshek,2001A081
2001A,51999.16667,51999.66667,Turnshek,2001A081
2001A,52000.16667,52000.66667,Turnshek,2001A081
2001A,52001.16667,52001.66667,Joseph,2001A070
2001A,52002.16667,52002.66667,Joseph,2001A070
2001A,52003.20833,52003.5,Joseph,2001A070
2001A,52004.20833,52004.5,Joseph,2001A070
2001A,52004.5,52004.70833,Klassen,2001A084
2001A,52005.20833,52005.5,Joseph,2001A070
2001A,52005.5,52005.70833,Klassen,2001A084
2001A,52006.16667,52006.66667,Imanishi,2001A031
2001A,52006.5,52006.70833,Klassen,2001A084
2001A,52007.16667,52007.66667,Imanishi,2001A031
2001A,52008.16667,52008.66667,Stockton,2001A026
2001A,52009.16667,52009.66667,Stockton,2001A026
2001A,52010.16667,52010.66667,Stockton,2001A026
2001A,52011.16667,52011.66667,Stockton,2001A026
2001A,52012.16667,52012.66667,Gregg,2001A103
2001A,52013.16667,52013.66667,Gregg,2001A103
2001A,52014.16667,52014.66667,Gregg,2001A103
2001A,52015.16667,52015.66667,Gregg,2001A103
2001A,52016.16667,52016.66667,Engineering,2001A999
2001A,52017.16667,52017.41597,Engineering,2001A999
2001A,52017.41597,52017.66667,Krasnopolsky,2001A042
2001A,52018.16667,52018.41597,Engineering,2001A999
2001A,52018.41597,52018.66667,Krasnopolsky,2001A042
2001A,52019.16667,52019.66667,Rodriguez-Ardila,2001A054
2001A,52020.16667,52020.66667,Rodriguez-Ardila,2001A054
2001A,52021.16667,52021.66667,Rodriguez-Ardila,2001A054
2001A,52022.16667,52022.66667,Rodriguez-Ardila,2001A054
2001A,52023.16667,52023.66667,Brotherton,2001A035
2001A,52024.16667,52024.66667,Brotherton,2001A035
2001A,52025.16667,52025.66667,Brotherton,2001A035
2001A,52026.16667,52026.66667,Brotherton,2001A035
2001A,52027.16667,52027.41597,Hardersen,2001A014
2001A,52027.41597,52027.66667,Rivkin,2001A101
2001A,52028.16667,52028.41597,Hardersen,2001A014
2001A,52028.41597,52028.66667,Rivkin,2001A101
2001A,52029.16667,52029.41597,Hardersen,2001A014
2001A,52029.41597,52029.66667,Rivkin,2001A101
2001A,52030.20833,52030.66667,Hardersen,2001A014
2001A,52030.875,52030.20833,Orton,2001A007
2001A,52031.20833,52031.66667,Hardersen,2001A014
2001A,52031.875,52031.20833,Orton,2001A007
2001A,52032.20833,52032.66667,Hardersen,2001A014
2001A,52032.875,52032.20833,Orton,2001A007
2001A,52033.16667,52033.66667,Cotera,2001A092
2001A,52034.16667,52034.66667,Cotera,2001A092
2001A,52035.16667,52035.66667,Cotera,2001A092
2001A,52036.20833,52036.58333,Ford,2001A003
2001A,52037.20833,52037.58333,Ford,2001A003
2001A,52037.58333,52037.70833,Young,2001A065
2001A,52038.20833,52038.58333,Ford,2001A003
2001A,52038.58333,52038.70833,Young,2001A065
2001A,52039.20833,52039.58333,Ford,2001A003
2001A,52039.58333,52039.70833,Young,2001A065
2001A,52040.20833,52040.58333,Reid,2001A002
2001A,52040.58333,52040.70833,Young,2001A065
2001A,52041.20833,52041.58333,Reid,2001A002
2001A,52041.58333,52041.70833,Young,2001A065
2001A,52042.20833,52042.58333,Reid,2001A002
2001A,52042.58333,52042.70833,Young,2001A065
2001A,52043.16667,52043.66667,Reid,2001A002
2001A,52043.58333,52043.70833,Young,2001A065
2001A,52044.16667,52044.66667,Reid,2001A002
2001A,52045.16667,52045.66667,Alonso-Herrero,2001A024
2001A,52046.16667,52046.41597,Alonso-Herrero,2001A024
2001A,52046.41597,52046.66667,Klassen,2001A084
2001A,52047.16667,52047.41597,Alonso-Herrero,2001A024
2001A,52047.41597,52047.66667,Klassen,2001A084
2001A,52048.16667,52048.41597,Alonso-Herrero,2001A024
2001A,52048.41597,52048.66667,Klassen,2001A084
2001A,52049.16667,52049.66667,Marion,2001A015
2001A,52050.16667,52050.66667,Marion,2001A015
2001A,52051.16667,52051.66667,Trilling,2001A048
2001A,52052.16667,52052.66667,Trilling,2001A048
2001A,52053.16667,52053.66667,Trilling,2001A048
2001A,52054.16667,52054.66667,McCabe,2001A052
2001A,52055.16667,52055.66667,McCabe,2001A052
2001A,52056.16667,52056.66667,McCabe,2001A052
2001A,52057.20833,52057.45833,Engineering,2001A999
2001A,52058.20833,52058.45833,Engineering,2001A999
2001A,52058.45833,52058.70833,Ousley,2001A067
2001A,52059.20833,52059.45833,Engineering,2001A999
2001A,52059.45833,52059.70833,Ousley,2001A067
2001A,52060.16667,52060.66667,Engineering,2001A999
2001A,52060.45833,52060.70833,Ousley,2001A067
2001A,52061.16667,52061.66667,Engineering,2001A999
2001A,52062.16667,52062.66667,Rayner,2001A082
2001A,52063.16667,52063.66667,Rayner,2001A082
2001A,52064.16667,52064.66667,Rayner,2001A082
2001A,52065.16667,52065.66667,Rayner,2001A082
2001A,52066.16667,52066.66667,Glenar,2001A033
2001A,52067.16667,52067.66667,Glenar,2001A033
2001A,52068.16667,52068.66667,Glenar,2001A033
2001A,52069.16667,52069.66667,Engineering,2001A999
2001A,52070.16667,52070.66667,Skillman,2001A078
2001A,52071.16667,52071.66667,Skillman,2001A078
2001A,52072.16667,52072.66667,Zhu,2001A102
2001A,52073.16667,52073.66667,Zhu,2001A102
2001A,52074.16667,52074.66667,Zhu,2001A102
2001A,52075.16667,52075.66667,Blake,2001A039
2001A,52076.16667,52076.66667,Blake,2001A039
2001A,52077.16667,52077.66667,Richter,2001A050
2001A,52078.16667,52078.66667,Lacy,2001A074
2001A,52079.16667,52079.66667,Bauer,2001A027
2001A,52080.16667,52080.66667,Binzel,2001A004
2001A,52081.16667,52081.66667,Binzel,2001A004
2001A,52082.16667,52082.66667,Glenar,2001A033
2001A,52083.16667,52083.66667,Glenar,2001A033
2001A,52084.16667,52084.66667,Glenar,2001A033
2001A,52085.16667,52085.66667,Evans,2001A043
2001A,52086.16667,52086.66667,Evans,2001A043
2001A,52087.16667,52087.66667,Evans,2001A043
2001A,52088.16667,52088.66667,Carr,2001A037
2001A,52089.16667,52089.66667,Carr,2001A037
2001A,52090.16667,52090.66667,Dinerstein,2001A020
2001A,52091.16667,52091.66667,Dinerstein,2001A020
2001A,52092.16667,52092.66667,Buie,2001A073
2001A,52093.16667,52093.66667,Buie,2001A073
2001A,52094.16667,52094.66667,Buie,2001A073
2001A,52095.16667,52095.66667,Buie,2001A073
2001A,52096.16667,52096.66667,Buie,2001A073
2001A,52097.16667,52097.66667,Buie,2001A073
2001A,52098.16667,52098.66667,Greene,2001A019
2001A,52099.16667,52099.66667,Greene,2001A019
